ID;token;entity_type
0;مدينه;O
1;الجزائر;B-LOC
2;العاصمه;O
3;الجزائريه;O
4;يبلغ;O
5;عدد;O
6;سكانها;O
7;حوالي;O
8;3;O
9;ملاين;O
10;نسمه;O
11;تعد;O
12;المركز;O
13;السياسي;O
14;والثقافي;O
15;للبلاد;O
16;مدينه;O
17;غنيه;O
18;بالهندسه;O
19;المعماريه;O
20;العاديه;O
21;والتاريخ;O
22;والمناظر;O
23;الطبيعيه;O
24;الخلابه;O
25;فمدينه;O
26;الجزائر;B-LOC
27;لديها;O
28;الكثير;O
29;لتقدمه;O
30;السائح;O
31;لقضاء;O
32;عطله;O
33;ممتعه;O
34;تاسست;O
35;المدينه;O
36;العثمانين;O
37;وظهر;O
38;بشكل;O
39;واضح;O
40;خلال;O
41;هندستها;O
42;المعماريه;O
43;الجميله;O
44;والفريده;O
45;قسطنطين;O
46;ثالث;O
47;اكبر;O
48;مدن;O
49;الجزائر;B-LOC
50;فهي;O
51;تمر;O
52;عبر;O
53;وادي;B-LF
54;جعهلها;O
55;اعجوبه;O
56;طبيعيه;O
57;تحولت;O
58;بالطبع;O
59;واحده;O
60;اهم;O
61;مدن;O
62;السياحه;O
63;الجزائر;B-LOC
64;مكان;O
65;مذهل;O
66;للسياح;O
67;مر;O
68;السنين;O
69;مرت;O
70;الحقبه;O
71;السياسيه;O
72;الحقبه;O
73;الثقافيه;O
74;الاقتصاديه;O
75;فهذه;O
76;المدينه;O
77;لديها;O
78;مقومات;O
79;المدن;O
80;السياحيه;O
81;الخلابه;O
82;تتمتع;O
83;قسطنطين;O
84;بطقس;B-WH
85;جميل;O
86;وجذاب;O
87;وطبيعتها;O
88;الخلابه;O
89;تعج;O
90;بشعور;O
91;الخيال;O
92;والحيويه;O
93;والبهجه;O
94;قسطنطين;O
95;مدينه;O
96;مثيره;O
97;تضم;O
98;العديد;O
99;المنحدرات;B-LF
100;والوديان;B-LF
101;العميقه;I-LF
102;فان;O
103;كنت;O
